study_ref_id,biodist_type,animal_model,cell_lines,dosage_symbols,dosage_value,dosage_unit,detection_time,metabolism,excretion,tumor_retention_time,tbr_tumor_blood,tbr_tumor_muscle,tbr_tumor_kidney,tbr_tumor_salivary_glands,tbr_tumor_liver,tbr_tumor_lung,tbr_tumor_heart,biodist_result_image,biodist_description,created_at,updated_at
BIO02110,Imaging,HCT-15 xenograft mice (BALB/c nude),HCT-15 cell,=,0.3–0.4 ,"MBq
",24h,Rapid clearance of blood,Mainly excreted through the kidneys,,,,,,,,,BIOR02110,,,
BIO02111,Ex vivo biodistribution,HCT-15 xenograft mice (BALB/c nude),HCT-15 cell,=,0.3–0.4 ,"MBq
",24h,Rapid clearance of blood,Mainly excreted through the kidneys,,,,,,,,,BIOR02111,"ATS-DTPA-¹¹¹In showed higher accumulation in tumor compared to control DTPA-¹¹¹In. Also higher in blood, kidney, spleen, and muscle compared to control.",,
BIO02112,Ex vivo biodistribution,"HCT15 xenograft mice (BALB/c nude)
",HCT-15 cell,=,148 ,MBq/kg,2h,,Mainly excreted through the kidneys,,,,,,,,,BIOR02112,"Moderate tumor accumulation, but lower than dual-targeted probe",,
BIO02112,Ex vivo biodistribution,"HCT15 xenograft mice (BALB/c nude)
",HCT-15 cell,=,148 ,MBq/kg,4h,,Mainly excreted through the kidneys,,,,,,,,,BIOR02112,"Moderate tumor accumulation, but lower than dual-targeted probe",,
BIO02112,Ex vivo biodistribution,"HCT15 xenograft mice (BALB/c nude)
",HCT-15 cell,=,148 ,MBq/kg,24h,,Mainly excreted through the kidneys,,,,,,,,,BIOR02112,"Moderate tumor accumulation, but lower than dual-targeted probe",,
BIO02112,Ex vivo biodistribution,"HCT15 xenograft mice (BALB/c nude)
",HCT-15 cell,=,148 ,MBq/kg,48h,,Mainly excreted through the kidneys,,,,,,,,,BIOR02112,"Moderate tumor accumulation, but lower than dual-targeted probe",,
BIO02113,Imaging,"HCT15 xenograft mice (BALB/c nude)
",HCT-15 cell,=,740,MBq/kg,2h,,Mainly excreted through the kidneys,,,,,,,,,BIOR02113,,,
BIO02113,Imaging,"HCT15 xenograft mice (BALB/c nude)
",HCT-15 cell,=,740,MBq/kg,4h,,Mainly excreted through the kidneys,,,,,,,,,BIOR02113,,,
BIO02113,Imaging,"HCT15 xenograft mice (BALB/c nude)
",HCT-15 cell,=,740,MBq/kg,24h,,Mainly excreted through the kidneys,,,,,,,,,BIOR02113,,,
BIO02113,Imaging,"HCT15 xenograft mice (BALB/c nude)
",HCT-15 cell,=,740,MBq/kg,48h,,Mainly excreted through the kidneys,,,,,,,,,BIOR02113,,,
BIO02118,Imaging,Athymic NCr-nu/nu mice with SQ20b xenografts,SQ20b cell,=,9.25-33.3,MBq,80-90min,,Mainly excreted through the kidneys,,,,,,,,,BIOR02118,"Marked liver accumulation, minimal renal/bladder activity, highest tumor uptake among tracers studied",,
BIO02150,Imaging,"Subcutaneous inoculate MC38-Active4 and MC38 cells into the left and right shoulders of BALB nude mice, respectively.",MC38-Active4 and MC38 cells,=,1.36~2.34, MBq,1h,,Mainly excreted through the kidneys,＞ 1h,19.88~26.34,,,,,,,BIOR02150,"Biodistribution analysis revealed that kidney up take peaked at 2 h post-injection, followed to some extent by the liver. No abnormal concentrations of radioactivity were detected in other normal tissues, including the spleen, lung, and brain. Muscle tissue exhibited low radioactivity, which elevated T/M (tumor-to-muscle) ratios.",,
BIO02150,Imaging,"Subcutaneous inoculate MC38-Active4 and MC38 cells into the left and right shoulders of BALB nude mice, respectively.",MC38-Active4 and MC38 cells,=,1.36~2.34, MBq,2h,,Mainly excreted through the kidneys,＞ 1h,29.77~32.85,,,,,,,BIOR02150,"Biodistribution analysis revealed that kidney up take peaked at 2 h post-injection, followed to some extent by the liver. No abnormal concentrations of radioactivity were detected in other normal tissues, including the spleen, lung, and brain. Muscle tissue exhibited low radioactivity, which elevated T/M (tumor-to-muscle) ratios.",,
BIO02151,Imaging,Subcutaneous injection of MDA-MB-468 cells into female BALB/c mice,MDA-MB-468 cells,=,1.36~2.34, MBq,1h,,Mainly excreted through the kidneys,＞ 1h,18.57~34.31,,,,,,,BIOR02151,"Biodistribution analysis revealed that kidney up take peaked at 2 h post-injection, followed to some extent by the liver. No abnormal concentrations of radioactivity were detected in other normal tissues, including the spleen, lung, and brain. Muscle tissue exhibited low radioactivity, which elevated T/M (tumor-to-muscle) ratios.",,
BIO02151,Imaging,Subcutaneous injection of MDA-MB-468 cells into female BALB/c mice,MDA-MB-468 cells,=,1.36~2.34, MBq,2h,,Mainly excreted through the kidneys,＞ 1h,23.2~28.08,,,,,,,BIOR02151,"Biodistribution analysis revealed that kidney up take peaked at 2 h post-injection, followed to some extent by the liver. No abnormal concentrations of radioactivity were detected in other normal tissues, including the spleen, lung, and brain. Muscle tissue exhibited low radioactivity, which elevated T/M (tumor-to-muscle) ratios.",,
BIO02152,Imaging,Untamed nude mice carrying MDA-MB-468 tumor (Envigo strain),MDA-MB-468 cell,=,7.4–11.1, MBq,48h,,Mainly excreted through the liver and gallbladder,＞ 120h,,20.54 ± 2.75,,,,,4.47 ± 0.63,BIOR02152,"Following the final imaging time point, mice were euthanized using carbon dioxide asphyxiation. Major organs and tissues, including the tumor, heart, liver, spleen, lungs, kidneys, stomach, intestines, muscles, bones, brain, and blood, were collected and weighed. Radioactivity in each sample was measured using an automated gamma counter, and biodistribution was calculated as %ID/g.",,
BIO02153,Imaging,Untamed nude mice carrying MDA-MB-468 tumor (Envigo strain),MDA-MB-468 cell,=,7.4–11.1, MBq,48h,,Mainly excreted through the liver and gallbladder,＞ 120h,,6.67 ± 2.67,,,,,0.84 ± 0.38,BIOR02153,"Following the final imaging time point, mice were euthanized using carbon dioxide asphyxiation. Major organs and tissues, including the tumor, heart, liver, spleen, lungs, kidneys, stomach, intestines, muscles, bones, brain, and blood, were collected and weighed. Radioactivity in each sample was measured using an automated gamma counter, and biodistribution was calculated as %ID/g.",,
BIO02154,Imaging,Athymic nude mice carrying H1975 tumor (Envigo),H1975 cell,=,7.4–11.1, MBq,48h,,Mainly excreted through the liver and gallbladder,＞ 120h,,14.53 ± 1.81,,,,,1.22 ± 0.12,BIOR02154,"Following the final imaging time point, mice were euthanized using carbon dioxide asphyxiation. Major organs and tissues, including the tumor, heart, liver, spleen, lungs, kidneys, stomach, intestines, muscles, bones, brain, and blood, were collected and weighed. Radioactivity in each sample was measured using an automated gamma counter, and biodistribution was calculated as %ID/g.",,
BIO02155,Imaging,Untamed nude mice carrying H520 tumor (Envigo strain),H520 cell,=,7.4–11.1, MBq,48h,,Mainly excreted through the liver and gallbladder,＞ 120h,,7.09 ± 1.11,,,,,0.58 ± 0.14,BIOR02155,"Following the final imaging time point, mice were euthanized using carbon dioxide asphyxiation. Major organs and tissues, including the tumor, heart, liver, spleen, lungs, kidneys, stomach, intestines, muscles, bones, brain, and blood, were collected and weighed. Radioactivity in each sample was measured using an automated gamma counter, and biodistribution was calculated as %ID/g.",,
BIO02156,Ex vivo biodistribution,Untamed nude mice carrying MDA-MB-468 tumor (Envigo strain),MDA-MB-468 cell,=,7.4–11.1, MBq,120h,,Mainly excreted through the liver and gallbladder,＞ 120h,,,,,,,,BIOR02156,"Following the final imaging time point, mice were euthanized using carbon dioxide asphyxiation. Major organs and tissues, including the tumor, heart, liver, spleen, lungs, kidneys, stomach, intestines, muscles, bones, brain, and blood, were collected and weighed. Radioactivity in each sample was measured using an automated gamma counter, and biodistribution was calculated as %ID/g.",,
BIO02157,Ex vivo biodistribution,Untamed nude mice carrying MDA-MB-231 tumor (Envigo strain),MDA-MB-231 cell,=,7.4–11.1, MBq,120h,,Mainly excreted through the liver and gallbladder,＞ 120h,,,,,,,,BIOR02157,"Following the final imaging time point, mice were euthanized using carbon dioxide asphyxiation. Major organs and tissues, including the tumor, heart, liver, spleen, lungs, kidneys, stomach, intestines, muscles, bones, brain, and blood, were collected and weighed. Radioactivity in each sample was measured using an automated gamma counter, and biodistribution was calculated as %ID/g.",,
BIO02158,Ex vivo biodistribution,Athymic nude mice carrying H1975 tumor (Envigo),H1975 cell,=,7.4–11.1, MBq,120h,,Mainly excreted through the liver and gallbladder,＞ 120h,,,,,,,,BIOR02158,"Following the final imaging time point, mice were euthanized using carbon dioxide asphyxiation. Major organs and tissues, including the tumor, heart, liver, spleen, lungs, kidneys, stomach, intestines, muscles, bones, brain, and blood, were collected and weighed. Radioactivity in each sample was measured using an automated gamma counter, and biodistribution was calculated as %ID/g.",,
BIO02159,Ex vivo biodistribution,Untamed nude mice carrying H520 tumor (Envigo strain),H520 cell,=,7.4–11.1, MBq,120h,,Mainly excreted through the liver and gallbladder,＞ 120h,,,,,,,,BIOR02159,"Following the final imaging time point, mice were euthanized using carbon dioxide asphyxiation. Major organs and tissues, including the tumor, heart, liver, spleen, lungs, kidneys, stomach, intestines, muscles, bones, brain, and blood, were collected and weighed. Radioactivity in each sample was measured using an automated gamma counter, and biodistribution was calculated as %ID/g.",,
BIO02160,Imaging,Athymic Nude-Foxn1nu mice (Envigo) with NCI-N87 tumors,NCI-N87 cell,=,7.4–11.1, MBq,48h,,Mainly excreted through the liver and gallbladder,＞ 120h,,15.35 ± 0.31,,,,,1.16 ± 0.21,BIOR02160,"Following the final imaging time point, mice were euthanized using carbon dioxide asphyxiation. Major organs and tissues, including the tumor, heart, liver, spleen, lungs, kidneys, stomach, intestines, tail, muscles, bones, brain, and blood, were collected and weighed. Radioactivity in each sample was measured using an automated gamma counter, and biodistribution was calculated as %ID/g",,
BIO02161,Imaging,Athymic Nude-Foxn1nu mice (Envigo) with HGC-27 tumors,HGC-27 cell,=,7.4–11.1, MBq,48h,,Mainly excreted through the liver and gallbladder,＞ 120h,,6.91 ± 0.39,,,,,0.44 ± 0.02,BIOR02161,"Following the final imaging time point, mice were euthanized using carbon dioxide asphyxiation. Major organs and tissues, including the tumor, heart, liver, spleen, lungs, kidneys, stomach, intestines, tail, muscles, bones, brain, and blood, were collected and weighed. Radioactivity in each sample was measured using an automated gamma counter, and biodistribution was calculated as %ID/g",,
BIO02162,Imaging,Athymic Nude-Foxn1nu mice (Envigo) with HT-1376 tumors,HT-1376 cell,=,7.4–11.1, MBq,48h,,Mainly excreted through the liver and gallbladder,＞ 120h,,27.96 ± 0.70,,,,,2.77 ± 0.72,BIOR02162,"Following the final imaging time point, mice were euthanized using carbon dioxide asphyxiation. Major organs and tissues, including the tumor, heart, liver, spleen, lungs, kidneys, stomach, intestines, tail, muscles, bones, brain, and blood, were collected and weighed. Radioactivity in each sample was measured using an automated gamma counter, and biodistribution was calculated as %ID/g",,
BIO02163,Imaging,Athymic Nude-Foxn1nu mice (Envigo) with UMUC-3 tumors,UMUC-3 cell,=,7.4–11.1, MBq,48h,,Mainly excreted through the liver and gallbladder,＞ 120h,,6.53 ± 0.39,,,,,1.01 ± 0.02,BIOR02163,"Following the final imaging time point, mice were euthanized using carbon dioxide asphyxiation. Major organs and tissues, including the tumor, heart, liver, spleen, lungs, kidneys, stomach, intestines, tail, muscles, bones, brain, and blood, were collected and weighed. Radioactivity in each sample was measured using an automated gamma counter, and biodistribution was calculated as %ID/g",,
BIO02164,Ex vivo biodistribution,Untamed nude mice carrying MDA-MB-468 tumor (Envigo strain),MDA-MB-468 cell,=,7.4–11.1, MBq,48h,,Mainly excreted through the liver and gallbladder,＞ 120h,,,,,,,,BIOR02164,"Following the final imaging time point, mice were euthanized using carbon dioxide asphyxiation. Major organs and tissues, including the tumor, heart, liver, spleen, lungs, kidneys, stomach, intestines, tail, muscles, bones, brain, and blood, were collected and weighed. Radioactivity in each sample was measured using an automated gamma counter, and biodistribution was calculated as %ID/g",,
BIO02165,Ex vivo biodistribution,Untamed nude mice carrying MDA-MB-231 tumor (Envigo strain),MDA-MB-231 cell,=,7.4–11.1, MBq,48h,,Mainly excreted through the liver and gallbladder,＞ 120h,,,,,,,,BIOR02165,"Following the final imaging time point, mice were euthanized using carbon dioxide asphyxiation. Major organs and tissues, including the tumor, heart, liver, spleen, lungs, kidneys, stomach, intestines, tail, muscles, bones, brain, and blood, were collected and weighed. Radioactivity in each sample was measured using an automated gamma counter, and biodistribution was calculated as %ID/g",,
BIO02166,Ex vivo biodistribution,Athymic nude mice carrying H1975 tumor (Envigo),H1975 cell,=,7.4–11.1, MBq,48h,,Mainly excreted through the liver and gallbladder,＞ 120h,,,,,,,,BIOR02166,"Following the final imaging time point, mice were euthanized using carbon dioxide asphyxiation. Major organs and tissues, including the tumor, heart, liver, spleen, lungs, kidneys, stomach, intestines, tail, muscles, bones, brain, and blood, were collected and weighed. Radioactivity in each sample was measured using an automated gamma counter, and biodistribution was calculated as %ID/g",,
BIO02167,Ex vivo biodistribution,Untamed nude mice carrying H520 tumor (Envigo strain),H520 cell,=,7.4–11.1, MBq,48h,,Mainly excreted through the liver and gallbladder,＞ 120h,,,,,,,,BIOR02167,"Following the final imaging time point, mice were euthanized using carbon dioxide asphyxiation. Major organs and tissues, including the tumor, heart, liver, spleen, lungs, kidneys, stomach, intestines, tail, muscles, bones, brain, and blood, were collected and weighed. Radioactivity in each sample was measured using an automated gamma counter, and biodistribution was calculated as %ID/g",,
BIO02168,Imaging,Mice carrying SW780 xenograft tumor,SW780 cell,=,7.4, MBq,1h,,Mainly excreted through the liver and gallbladder,＞ 1h,,3.98±2.48,,,,,,BIOR02168,"The animals were sacrificed at 1 h post injection. Organs of interest were dissected, blotted and weighed. The radioactivity was measured using a γ-counter and calculated as the percentage uptake of injected dose per gram of tissue (%ID/g)",,
BIO02169,Imaging,Mice carrying SW780 xenograft tumor,SW780 cell,=,7.4, MBq,1h,,Mainly excreted through the liver and gallbladder,＞ 1h,,,,,,,,BIOR02169,"The animals were sacrificed at 1 h post injection. Organs of interest were dissected, blotted and weighed. The radioactivity was measured using a γ-counter and calculated as the percentage uptake of injected dose per gram of tissue (%ID/g)",,
BIO02170,Ex vivo biodistribution,Mice carrying SW780 xenograft tumor,SW780 cell,=,0.74, MBq,1h,,Mainly excreted through the liver and gallbladder,＞ 1h,,,,,,,,BIOR02170,"The animals were sacrificed at 1 h post injection. Organs of interest were dissected, blotted and weighed. The radioactivity was measured using a γ-counter and calculated as the percentage uptake of injected dose per gram of tissue (%ID/g)",,
BIO02171,Ex vivo biodistribution,Mice carrying SW780 xenograft tumor,SW780 cell,=,0.74, MBq,1h,,Mainly excreted through the liver and gallbladder,＞ 1h,,,,,,,,BIOR02171,"The animals were sacrificed at 1 h post injection. Organs of interest were dissected, blotted and weighed. The radioactivity was measured using a γ-counter and calculated as the percentage uptake of injected dose per gram of tissue (%ID/g)",,
BIO02172,Imaging,Mice bearing MDA-MB-468 tumors,MDA-MB-468 cell,=,5.55-7.40, MBq,1h,"Minimal metabolism, stable in vivo",Mainly excreted through the liver and gallbladder,＞ 1h,27.64 ± 6.96 (at 60 min),4.5 ± 0.35,,,,,,BIOR02172,"Rapid blood clearance, high specific tumor uptake, low background in normal organs.",,
BIO02175,Imaging,"ICR-SCID mice bearing various subcutaneous, liver, and bone tumor xenografts.",,=,1.85-4.07, MBq,6d,Stable in vivo; minimal deiodination (low thyroid/stomach uptake). Some evidence of potential cleavage product elimination via bladder in monkeys.,Hepatic (high liver uptake),＞6d,,,,,6.1,,,BIOR02175,"High specific uptake in Nectin-4 expressing tumors. High non-specific uptake in spleen of mice (Fc-mediated). In monkeys, high blood pool (heart) and bladder uptake, moderate liver and spleen uptake.",,
BIO02179,Ex vivo biodistribution,Subcutaneous implantation of SW780 or 5637 cells into the shoulder of 4-5 week old female BALB/nude mice.,SW780 or 5637 cells,=,1.85, MBq,10min,Stable in vivo; no significant decomposition observed.,Primarily renal (high kidney and bladder uptake),＞ 2h,0.65 ±0.48（10min）,10.37 ±3.73（10min）,0.36 ±0.1（10min）,,5.83 ±2.35（10min）,,,BIOR02179,Rapid blood clearance. High specific uptake in Nectin-4+ tumors (SW780). High non-specific uptake in kidneys and bladder due to renal excretion. Low background in muscle and blood.,,
BIO02179,Ex vivo biodistribution,Subcutaneous implantation of SW780 or 5637 cells into the shoulder of 4-5 week old female BALB/nude mice.,SW780 or 5637 cells,=,1.85, MBq,30min,Stable in vivo; no significant decomposition observed.,Primarily renal (high kidney and bladder uptake),＞ 2h,2.67 ±1.41（30min）,16 ±9.37（30min）,0.27 ±0.04（30min）,,8.99 ±3.48（30min）,,,BIOR02179,Rapid blood clearance. High specific uptake in Nectin-4+ tumors (SW780). High non-specific uptake in kidneys and bladder due to renal excretion. Low background in muscle and blood.,,
BIO02179,Ex vivo biodistribution,Subcutaneous implantation of SW780 or 5637 cells into the shoulder of 4-5 week old female BALB/nude mice.,SW780 or 5637 cells,=,1.85, MBq,60min,Stable in vivo; no significant decomposition observed.,Primarily renal (high kidney and bladder uptake),＞ 2h,4.04 ±0.96（60min）,12.74 ±8.86（60min）,0.2 ±0.04（60min）,,8.42 ±3.1（60min）,,,BIOR02179,Rapid blood clearance. High specific uptake in Nectin-4+ tumors (SW780). High non-specific uptake in kidneys and bladder due to renal excretion. Low background in muscle and blood.,,
BIO02179,Ex vivo biodistribution,Subcutaneous implantation of SW780 or 5637 cells into the shoulder of 4-5 week old female BALB/nude mice.,SW780 or 5637 cells,=,1.85, MBq,120min,Stable in vivo; no significant decomposition observed.,Primarily renal (high kidney and bladder uptake),＞ 2h,3.67±1.52（120min）,17.06 ±5.85（120min）,0.1 ±0.08（120min）,,7.57 ±1.91（120min）,,,BIOR02179,Rapid blood clearance. High specific uptake in Nectin-4+ tumors (SW780). High non-specific uptake in kidneys and bladder due to renal excretion. Low background in muscle and blood.,,
BIO02180,Ex vivo biodistribution,Subcutaneous implantation of SW780 or 5637 cells into the shoulder of 4-5 week old female BALB/nude mice.,SW780 or 5637 cells,=,1.85, MBq,10min,Stable in vivo; no significant decomposition observed.,Primarily renal (high kidney and bladder uptake),＞ 2h,0.78 ±0.29（10min）,10.15 ±1.31（10min）,0.23 ±0.01（10min）,,4.67 ±0.9（10min）,,,BIOR02180,Rapid blood clearance. High specific uptake in Nectin-4+ tumors (SW780). High non-specific uptake in kidneys and bladder due to renal excretion. Low background in muscle and blood.,,
BIO02180,Ex vivo biodistribution,Subcutaneous implantation of SW780 or 5637 cells into the shoulder of 4-5 week old female BALB/nude mice.,SW780 or 5637 cells,=,1.85, MBq,30min,Stable in vivo; no significant decomposition observed.,Primarily renal (high kidney and bladder uptake),＞ 2h,3.42 ±1.73（30min）,17.28±4.06（30min）,0.21 ±0（30min）,,6.43 ±2.17（30min）,,,BIOR02180,Rapid blood clearance. High specific uptake in Nectin-4+ tumors (SW780). High non-specific uptake in kidneys and bladder due to renal excretion. Low background in muscle and blood.,,
BIO02180,Ex vivo biodistribution,Subcutaneous implantation of SW780 or 5637 cells into the shoulder of 4-5 week old female BALB/nude mice.,SW780 or 5637 cells,=,1.85, MBq,60min,Stable in vivo; no significant decomposition observed.,Primarily renal (high kidney and bladder uptake),＞ 2h,4.18 ±0.99（60min）,30.93 ±15.97（60min）,0.16 ±0.03（60min）,,8.12 ±2.78（60min）,,,BIOR02180,Rapid blood clearance. High specific uptake in Nectin-4+ tumors (SW780). High non-specific uptake in kidneys and bladder due to renal excretion. Low background in muscle and blood.,,
BIO02180,Ex vivo biodistribution,Subcutaneous implantation of SW780 or 5637 cells into the shoulder of 4-5 week old female BALB/nude mice.,SW780 or 5637 cells,=,1.85, MBq,120min,Stable in vivo; no significant decomposition observed.,Primarily renal (high kidney and bladder uptake),＞ 2h,6.19±3.16（120min）,34.65 ±22.36（120min）,0.07 ±0.04（120min）,,5.22 ±2.81（120min）,,,BIOR02180,Rapid blood clearance. High specific uptake in Nectin-4+ tumors (SW780). High non-specific uptake in kidneys and bladder due to renal excretion. Low background in muscle and blood.,,
BIO02181,Ex vivo biodistribution,Subcutaneous implantation of SW780 or 5637 cells into the shoulder of 4-5 week old female BALB/nude mice.,SW780 or 5637 cells,=,1.85, MBq,10min,Stable in vivo; no significant decomposition observed.,Primarily renal (high kidney and bladder uptake),＞ 2h,2.19 ±0.34（10min）,7.43 ±1.26（10min）,0.36±0.07（10min）,,3.7 ±0.98（10min）,,,BIOR02181,Rapid blood clearance. High specific uptake in Nectin-4+ tumors (SW780). High non-specific uptake in kidneys and bladder due to renal excretion. Low background in muscle and blood.,,
BIO02181,Ex vivo biodistribution,Subcutaneous implantation of SW780 or 5637 cells into the shoulder of 4-5 week old female BALB/nude mice.,SW780 or 5637 cells,=,1.85, MBq,30min,Stable in vivo; no significant decomposition observed.,Primarily renal (high kidney and bladder uptake),＞ 2h,4.05 ±0.97（30min）,17.8±9.84（30min）,0.24 ±0.06（30min）,,7.7 ±1.58（30min）,,,BIOR02181,Rapid blood clearance. High specific uptake in Nectin-4+ tumors (SW780). High non-specific uptake in kidneys and bladder due to renal excretion. Low background in muscle and blood.,,
BIO02181,Ex vivo biodistribution,Subcutaneous implantation of SW780 or 5637 cells into the shoulder of 4-5 week old female BALB/nude mice.,SW780 or 5637 cells,=,1.85, MBq,60min,Stable in vivo; no significant decomposition observed.,Primarily renal (high kidney and bladder uptake),＞ 2h,8.33 ±1.9（60min）,22.89 ±8.94（60min）,0.22 ±0.05（60min）,,11.03 ±1.28（60min）,,,BIOR02181,Rapid blood clearance. High specific uptake in Nectin-4+ tumors (SW780). High non-specific uptake in kidneys and bladder due to renal excretion. Low background in muscle and blood.,,
BIO02181,Ex vivo biodistribution,Subcutaneous implantation of SW780 or 5637 cells into the shoulder of 4-5 week old female BALB/nude mice.,SW780 or 5637 cells,=,1.85, MBq,120min,Stable in vivo; no significant decomposition observed.,Primarily renal (high kidney and bladder uptake),＞ 2h,7.89±3.83（120min）,37.27 ±19.15（120min）,0.16 ±0.05（120min）,,9.66 ±5.66（120min）,,,BIOR02181,Rapid blood clearance. High specific uptake in Nectin-4+ tumors (SW780). High non-specific uptake in kidneys and bladder due to renal excretion. Low background in muscle and blood.,,
BIO02182,Ex vivo biodistribution,Subcutaneous implantation of SW780 or 5637 cells into the shoulder of 4-5 week old female BALB/nude mice.,SW780 or 5637 cells,=,1.85, MBq,10min,Stable in vivo; no significant decomposition observed.,Primarily renal (high kidney and bladder uptake),＞ 2h,1.36 ±0.66（10min）,3.82 ±0.98（10min）,0.22±0.05（10min）,,4.07 ±0.8（10min）,,,BIOR02182,Rapid blood clearance. High specific uptake in Nectin-4+ tumors (SW780). High non-specific uptake in kidneys and bladder due to renal excretion. Low background in muscle and blood.,,
BIO02182,Ex vivo biodistribution,Subcutaneous implantation of SW780 or 5637 cells into the shoulder of 4-5 week old female BALB/nude mice.,SW780 or 5637 cells,=,1.85, MBq,30min,Stable in vivo; no significant decomposition observed.,Primarily renal (high kidney and bladder uptake),＞ 2h,0.73 ±0.32（30min）,7.74±1.06（30min）,0.15 ±0.03（30min）,,5.94 ±1.16（30min）,,,BIOR02182,Rapid blood clearance. High specific uptake in Nectin-4+ tumors (SW780). High non-specific uptake in kidneys and bladder due to renal excretion. Low background in muscle and blood.,,
BIO02182,Ex vivo biodistribution,Subcutaneous implantation of SW780 or 5637 cells into the shoulder of 4-5 week old female BALB/nude mice.,SW780 or 5637 cells,=,1.85, MBq,60min,Stable in vivo; no significant decomposition observed.,Primarily renal (high kidney and bladder uptake),＞ 2h,0.28 ±0.22（60min）,3.58 ±2.21（60min）,0.12 ±0.02（60min）,,4.44 ±1.14（60min）,,,BIOR02182,Rapid blood clearance. High specific uptake in Nectin-4+ tumors (SW780). High non-specific uptake in kidneys and bladder due to renal excretion. Low background in muscle and blood.,,
BIO02182,Ex vivo biodistribution,Subcutaneous implantation of SW780 or 5637 cells into the shoulder of 4-5 week old female BALB/nude mice.,SW780 or 5637 cells,=,1.85, MBq,120min,Stable in vivo; no significant decomposition observed.,Primarily renal (high kidney and bladder uptake),＞ 2h,0.49±0.3（120min）,7.66 ±1.85（120min）,0.1 ±0.05（120min）,,4.57 ±1.38（120min）,,,BIOR02182,Rapid blood clearance. High specific uptake in Nectin-4+ tumors (SW780). High non-specific uptake in kidneys and bladder due to renal excretion. Low background in muscle and blood.,,
BIO02183,Ex vivo biodistribution,Mice carrying MDA-MB-231 cells,MDA-MB-231 cell,=,​0.37, MBq,0.5h,Stable in vivo; rapid clearance from blood.,Primarily renal (high kidney uptake),＞ 2h,,,,,,,,BIOR02183,High specific uptake in GRP78+ MDA-MB-231 tumors. High non-specific uptake in liver. Low background in other normal organs. Uptake in tumors could be specifically blocked by excess cold VAP peptide.,,
BIO02184,Ex vivo biodistribution,Mice carrying MCF-7 tumor xenografts,MCF-7 cell,=,​0.37, MBq,0.5h,Stable in vivo; rapid clearance from blood.,Primarily renal (high kidney uptake),＞ 2h,,,,,,,,BIOR02184,High specific uptake in GRP78+ MDA-MB-231 tumors. High non-specific uptake in liver. Low background in other normal organs. Uptake in tumors could be specifically blocked by excess cold VAP peptide.,,
BIO02185,Ex vivo biodistribution,Subcutaneous injection of U87MG wild-type cells into the right inguinal region of Balb/c nude mice,U87MG cells,=,1.85, MBq,30min,Stable in vivo; ~93% intact in blood at 60 min p.i.,Dual excretion: Renal (Urinary) and Hepatobiliary,＞ 2h,,15.54±3.38（30min）,,,0.68±0.26（30min）,,,BIOR02185,Rapid distribution and fast clearance from blood and non-target organs. High specific uptake in PD-L1+ tumors. High non-specific uptake in liver and kidneys due to dual excretion.,,
BIO02185,Ex vivo biodistribution,Subcutaneous injection of U87MG wild-type cells into the right inguinal region of Balb/c nude mice,U87MG cells,=,1.85, MBq,60min,Stable in vivo; ~93% intact in blood at 60 min p.i.,Dual excretion: Renal (Urinary) and Hepatobiliary,＞ 2h,,8.75 ±1.10（60min）,,,0.46 ±0.11（60min）,,,BIOR02185,Rapid distribution and fast clearance from blood and non-target organs. High specific uptake in PD-L1+ tumors. High non-specific uptake in liver and kidneys due to dual excretion.,,
BIO02185,Ex vivo biodistribution,Subcutaneous injection of U87MG wild-type cells into the right inguinal region of Balb/c nude mice,U87MG cells,=,1.85, MBq,120min,Stable in vivo; ~93% intact in blood at 60 min p.i.,Dual excretion: Renal (Urinary) and Hepatobiliary,＞ 2h,,7.32 ±2.72（120min）,,,0.30 ±0.09（120min）,,,BIOR02185,Rapid distribution and fast clearance from blood and non-target organs. High specific uptake in PD-L1+ tumors. High non-specific uptake in liver and kidneys due to dual excretion.,,
BIO02187,Ex vivo biodistribution,Female CD-1 nude mice bearing MDA-MB-468 (nectin-4+) xenografts,MDA-MB-468 cell,=,12, MBq,120h,Stable in vivo; slow clearance.,Hepatic and renal,＞ 240h,3.1 (120h),13.2 (120h),,,,,,BIOR02187,"High specific uptake in nectin-4-positive tumors. Moderate uptake in liver, spleen, and kidneys due to clearance pathways. Uptake could be specifically blocked by excess cold antibody.",,
BIO02188,Ex vivo biodistribution,BALB/c mice bearing 4T1.nectin-4 syngeneic allografts,4T1 cell,=,12, MBq,120h,Stable in vivo; slow clearance.,Hepatic and renal,＞ 240h,5.5 (120h),20 (120h),,,,,,BIOR02188,"High specific uptake in nectin-4-positive tumors. Moderate uptake in liver, spleen, and kidneys due to clearance pathways. Uptake could be specifically blocked by excess cold antibody.",,
BIO02191,Ex vivo biodistribution,Balb/c mice bearing 4T1 tumors,4T1 cell,=,37, MBq,1h,Hepatobiliary,Renal and hepatobiliary,＞96h,,,0.62 ± 0.13,,0.34 ± 0.09,174.25 ± 26.50,69.70 ± 84.13,BIOR02191,High tumor uptake with hepatobiliary and renal clearance,,
BIO02191,Ex vivo biodistribution,Balb/c mice bearing 4T1 tumors,4T1 cell,=,37, MBq,4h,Hepatobiliary,Renal and hepatobiliary,＞96h,,,0.80 ± 0.18,,0.46 ± 0.07,82.25 ± 12.40,82.25 ± 52.75,BIOR02191,High tumor uptake with hepatobiliary and renal clearance,,
