entity_id,entity_category,name,synonyms,external_id,smiles,structure_image,formula,iupac_name,inchi,inchikey,pubchem_cid,mol2d_path,mol3d_path,molecular_weight,complexity,heavy_atom_count,hbond_acceptors,hbond_donors,rotatable_bonds,logp,tpsa,ligand_type,linker_type,radionuclide_symbol,radionuclide_half_life,radionuclide_emission,radionuclide_energy,radiochemical_method_description,radiochemical_yield,radiochemical_purity,specific_activity,notes,created_at,updated_at
RDC01772,RDC,[68Ga]Ga-DFO-M74,,,,,,,,,,,,,,,,,,,,,,,,,,"The conjugates (~150 μg in 60 μL of aqueous 0.2 M NH4OAc solution) were combined with a solution containing [68Ga]Ga3+ (30 MBq, in 75 μL of aqueous 0.1 M HCl) and an aqueous solution of NH4OAc (2 M, 40 μL), followed by incubation at 37 °C for 15 min and subsequent analysis by size exclusion (SE)-HPLC",36.4 ± 3.8%,>99%,84.2 MBq/mg,,,
RDC01763,RDC,[99mTc]Tc-(HE)3-G3,,,,,,,,,,,,,,,,,,,,,,,,,,,83% ±9%,>98%.,,,,
RDC01776,RDC,[177Lu]Lu-DOTA@TRA/MC@Si,,,,,,,,,,,,,,,,,,,,,,,,,,"Incubation of DOTA@TRA/MC@Si with ¹⁷⁷LuCl₃ in HEPES buffer, pH 4.5, 42°C, 24 h",93.0 ± 2.4%,> 93 %,,,,
RDC01777,RDC,[225Ac]Ac-DOTA-PRIT,,,,,,,,,,,,,,,,,,,,,,,,,,"Pr labeled with ²²⁵Ac in ammonium acetate buffer, heated at 90°C for 30 min",>99%,>99%,,,,
RDC01818,RDC,64Cu-DOTA-MUT-DS,,,,,,,,,,,,,,,,,,,,,,,,,,"Incubation of DOTA-MUT-DS with ⁶⁴CuCl₂ in NaOAc buffer (0.1 N, pH 5.5) at 40°C for 40 min, purified via PD-10 column.",,>95%,3.98 – 6.83-MBq/nmol,,,
RDC01819,RDC,111In-DOTA–MUT-DS,,,,,,,,,,,,,,,,,,,,,,,,,,"Incubation of DOTA-MUT-DS with ¹¹¹InCl₃ in NH₄OAc buffer (0.1 N, pH 5.5) at 80°C for 40 min, purified via PD-10 column.",,>95%,3.98 – 6.83 MBq/nmol,,,
RDC01820,RDC,64Cu-DOTA-ZHER2:477,,,,,,,,,,,,,,,,,,,,,,,,,,The conjugates were radiolabeled with ⁶⁴Cu in 0.1 N NaOAc buffer at 40°C for 1 hour.The reaction mixture was purified using a PD-10 size exclusion column.,,>95%,108 µCi/µg,,,
RDC01821,RDC,64Cu-DOTA-(ZHER2:477)2,,,,,,,,,,,,,,,,,,,,,,,,,,The conjugates were radiolabeled with ⁶⁴Cu in 0.1 N NaOAc buffer at 40°C for 1 hour.The reaction mixture was purified using a PD-10 size exclusion column.,,>95%,214  µCi/µg,,,
RDC01822,RDC,99mTc-hynic-RNA-aptamers,,,,,,,,,,,,,,,,,,,,,,,,,,Instant thin-layer chromatography (ITLC) with methyl ethyl ketone and sodium phosphate buffer (pH 11) as mobile phases to determine labeling efficiency and radiochemical purity.,,96 ± 1.85%,,,,
RDC01823,RDC,111In-CHX-A0-DTPA–panitumumab,,,,,,,,,,,,,,,,,,,,,,,,,,"Panitumumab was conjugated with the bifunctional chelator CHX-A′-DTPA and subsequently radiolabeled with ¹¹¹In or ¹²⁵I, achieving a radiochemical yield of 80-90% or 50-60%, and a specific activity of >2 GBq/mg or ~1 GBq/mg, respectively.",80% to 90%,,2 GBq/mg,,,
RDC01824,RDC,111In-CHX-A0-DTPA–trastuzumab,,,,,,,,,,,,,,,,,,,,,,,,,,"An identical method was used: conjugation with CHX-A′-DTPA followed by radiolabeling with ¹¹¹In or ¹²⁵I, resulting in comparable yields and specific activities as reported for the panitumumab immunoconjugates.",80% to 90%,,2 GBq/mg,,,
RDC01825,RDC,68Ga-DOTA-MUT-DS,,,,,,,,,,,,,,,,,,,,,,,,,,Radiolabeling was performed by incubating DOTA-MUT-DS with ⁶⁸GaCl₃ in NH₄OAc buffer (pH 4.5) at 75°C for 20 minutes. The product was purified via analytical radio-HPLC to confirm radiochemical purity.,35% – 56%,>95%,2.65 – 3.69 MBq/nmol,,,
RDC01826,RDC,114mIn-CHX-A″-DTPA-ABD-(ZHER2:342)2,,,,,,,,,,,,,,,,,,,,,,,,,,"Conjugate labeled with 114mIn in ammonium acetate buffer (pH 5.5) at ambient temperature for 30 min. Radiochemical purity (RCP) assessed by ITLC-SG (citric acid); labeled conjugate remained at origin. RCP >97%, no purification needed.",~99.3%,>98%,,,,
RDC01827,RDC,111In-Bz-DOTA-ABD-(ZHER2:342)2,,,,,,,,,,,,,,,,,,,,,,,,,,"Conjugate labeled with 111In in ammonium acetate buffer (pH 5.5) at 37°C for 30 min. RCP determined by ITLC-SG (citric acid); labeled conjugate remained at origin. RCP >97%, used without further purification.",~98.2%,>99.9%,,,,
RDC01828,RDC,111In-[DOTA-A1]-ZHER2:S1,,,,,,,,,,,,,,,,,,,,,,,,,,Labeling performed by incubating the conjugate with ¹¹¹In-chloride in 0.2 M ammonium acetate (pH 5.5) at 95°C for 30 min. Radiochemical purity was analyzed by ITLC using 0.2 M citric acid as the mobile phase.,> 99%,> 99%,1.5 MBq/μg,,,
RDC01829,RDC,111In-[DOTA-K50]-ZHER2:S1,,,,,,,,,,,,,,,,,,,,,,,,,,"conjugation with ¹¹¹In-chloride in 0.2 M ammonium acetate buffer, pH 5.5, at 95°C. Purity checked by radio-ITLC (citric acid) and confirmed by SDS-PAGE.",> 99%,> 99%,1.5 MBq/μg,,,
RDC01830,RDC,111In-[DOTA-K58]-ZHER2:S1,,,,,,,,,,,,,,,,,,,,,,,,,,Same standardized protocol: reaction with ¹¹¹InCl3 in ammonium acetate buffer at 95°C. Quality control via ITLC and SDS-PAGE to confirm labeling efficiency and stability.,> 99%,> 99%,1.5 MBq/μg,,,
RDC01834,RDC,68Ga-ABY-002,,,,,,,,,,,,,,,,,,,,,,,,,,"The peptide was labeled with 68Ga obtained from a 68Ga generator, using a standardized protocol under GMP conditions, which included purification steps to ensure radiochemical purity.",,,,,,
RDC01639,RDC,64Cu-DOTA-trastuzumab,,,,,,,,,,,,,,,,,,,,,,,,,,Analytical method used to determine the percentage of the desired radiochemical compound relative to total radioactivity. The text states it was tested against a specification of >95%.,,>95%,350 GBq/µmol,,,
RDC01835,RDC,[111In]-ABY-025,,,,,,,,,,,,,,,,,,,,,,,,,,Incubation of ABY-025 with [[¹¹¹In]InCl₃ in ammonium acetate buffer (pH 5.5) at 60°C for 30 min. Radiochemical purity analyzed by instant thin-layer chromatography,,> 95%,,,,
RDC01639,RDC,⁶⁴Cu-DOTA-Trastuzumab,,,,,,,,,,,,,,,,,,,,,,,,,,"Heating at 43°C for 45 min, incubation with excess DTPA to eliminate non-specific Cu binding sites",,,,,,
RDC01837,RDC,177Lu-DOTAGA-PEG2-RM26,,,,,,,,,,,,,,,,,,,,,,,,,,"85°C, 30 min, ascorbate pH 5.5",>99.5%,>99.5%,450 MBq/nmol,,,
RDC01838,RDC,[89Zr]Zr-DFO-T5,,,,,,,,,,,,,,,,,,,,,,,,,,"Radiolabeling with [89Zr]Zr-oxalate in PBS/HEPES, 37°C, 60 min",>98%,>99%,97 MBq/nmol,,,
RDC01839,RDC,99mTc-HYNIC-(Ser)3-LTVPWY,,,,,,,,,,,,,,,,,,,,,,,,,,"Labeling with 99mTc using EDDA/tricine as co-ligands, heating at 95°C for 15 min, pH 6.5 buffer",>95%,>99%,21.7 GBq/μmol,,,
RDC01840,RDC,¹⁷⁷Lu-CHX-A'-DTPA-Trastuzumab,,,,,,,,,,,,,,,,,,,,,,,,,,PD-10 column purification,>95%,97.4±1%,0.62 MBq/μg,,,
RDC01840,RDC,99mTc-tricine-TPPTS-L,,,,,,,,,,,,,,,,,,,,,,,,,,"tricine/TPPTS, SnCl2, 100°C, 30min",>90%,>90%,,,,
RDC01841,RDC,99mTc-tricine-TPPMS-L,,,,,,,,,,,,,,,,,,,,,,,,,,"tricine/TPPMS, SnCl2, 100°C, 30min",>90%,>90%,,,,
RDC01842,RDC,²²⁵Ac]Pr,,,,,,,,,,,,,,,,,,,,,,,,,,Purified by Sephadex C-25,91–100%,≥91%,3108–169000 GBq/mol,,,
RDC01843,RDC,[¹¹¹In]Pr,,,,,,,,,,,,,,,,,,,,,,,,,,Purified by Strata-X SPE,44–>98%,≥91%,228000–9670000 GBq/mol,,,
RDC01844,RDC,111In-DOTA-C-H6-ADAPT6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.969,1,,,,
RDC01846,RDC,99mTc(CO)3-H6-ADAPT6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,1,,,,
RDC01847,RDC,99mTc(CO)3-(HE)3-ADAPT6,,,,,,,,,,,,,,,,,,,,,,,,,,,60-70%,0.956,,,,
RDC01848,RDC,177Lu-DOTA-TF1,,,,,,,,,,,,,,,,,,,,,,,,,,"0.1 M NH4OAc, pH 5.5, 37°C, 30min",>95%,>95%,,,,
RDC01849,RDC,177Lu-DOTA-TG1,,,,,,,,,,,,,,,,,,,,,,,,,,"0.1 M NH4OAc, pH 5.5, 37°C, 30min",>95%,>95%,,,,
RDC01850,RDC,68Ga-NOTA-SNA004-His6,,,,,,,,,,,,,,,,,,,,,,,,,,"37°C, 10 min, PD-10 purification",>95%,>97%,,,,
RDC01851,RDC,68Ga-NODAGA-SNA004-GSC,,,,,,,,,,,,,,,,,,,,,,,,,,"37°C, 10 min, PD-10 purification",>95%,>97%,,,,
RDC01852,RDC,iso-[²¹¹At]AGMB-PODS-5F7GGC,,,,,,,,,,,,,,,,,,,,,,,,,,Site-specific conjugation via PODS,64 ± 7%,>99%,,,,
RDC01853,RDC,99mTc-ABH2,,,,,,,,,,,,,,,,,,,,,,,,,,"Labeling kit: HEPES, gluconic acid sodium, SnCl2, ABH2; incubated 10 min at RT; purified by 0.22 μm filter; radiochemical purity >95%",,>95%,,,,
RDC01854,RDC,[⁵²Mn]Mn-BPPA-trastuzumab,,,,,,,,,,,,,,,,,,,,,,,,,,"Labeling with pH 7 HEPES buffer, 15 min, room temperature",>95%,0.9993,0.085 MBq/μg,,,
RDC01855,RDC,225225Ac-DOTA-pertuzumab,,,,,,,,,,,,,,,,,,,,,,,,,,,81.5% (for PD2),>99%,1.26 MBq/mg,,,
RDC01856,RDC,188Re-ZHER2:41071,,,,,,,,,,,,,,,,,,,,,,,,,,"Labeling with low/high eluate volume, purification with NAP-5 or Oasis HLB",">98% (low volume), 85±10% (high volume)",>99%,4 GBq/μmol,,,
RDC01857,RDC,[68Ga]Ga-DOTA-WC8,,,,,,,,,,,,,,,,,,,,,,,,,,68Ga labeling with DOTA conjugate,>97%,>97%,,,,
RDC01858,RDC,[18F]AlF-RESCA-MIRC213,,,,,,,,,,,,,,,,,,,,,,,,,,50.48 ± 7.6%,>98%,,,,,
RDC01859,RDC,[68Ga]Ga-P5,,,,,,,,,,,,,,,,,,,,,,,,,,"HPLC, 95°C, 12-15 min",>95%,>95%,2.8 MBq/nmol,,,
RDC01860,RDC,[68Ga]Ga-P6,,,,,,,,,,,,,,,,,,,,,,,,,,"HPLC, 95°C, 12-15 min",>95%,>95%,1.7 MBq/nmol,,,
RDC01861,RDC,177Lu-DOTA-LTVSPWY,,,,,,,,,,,,,,,,,,,,,,,,,,"20 μg peptide, 5.0 mCi ¹⁷⁷LuCl₃, 95°C, 15 min, acetate buffer pH 5.5",>97%,>97%,,,,
RDC01639,RDC,⁶⁴Cu-DOTA-trastuzumab,,,,,,,,,,,,,,,,,,,,,,,,,,"Conjugated with DOTA, radiolabeled with ⁶⁴Cu",,,,,,
RDC01863,RDC,68Ga-RM2,,,,,,,,,,,,,,,,,,,,,,,,,,Automated synthesis (GE FastLab),,99.52 ± 0.18%,47.3 ± 16.7 GBq/μmol,,,
RDC01864,RDC,[18F]AlF-NOTA-HER2 affibody,,,,,,,,,,,,,,,,,,,,,,,,,,One-step [18F]AlF labeling,0.3269,>98%,,,,
RDC01867,RDC,DFO:MMAE-⁵⁸trastuzumab,,,,,,,,,,,,,,,,,,,,,,,,,,,,>99%,2.7 ± 0.1 mCi/mg,,,
RDC01868,RDC,[68Ga]Ga-HER3P1,,,,,,,,,,,,,,,,,,,,,,,,,,Purified by C18 cartridge,,>95%,296 MBq/mg,,,
RDC01726,RDC,[99mTc]Tc-ADAPT6,,,,,,,,,,,,,,,,,,,,,,,,,,"Labeling with 99mTc using CRS kit, purified by size exclusion chromatography, pH 7.4, sterile",,97.6 ± 1.4%,,,,
RDC01869,RDC,89Zr-p-NCS-Bz-DFO-anti-HER2 affibody,,,,,,,,,,,,,,,,,,,,,,,,,,"37 °C, 60 min, pH 7.0–9.0",0.7841,0.8796,11.45–26.5 MBq/nmol,,,
RDC01870,RDC,111In-D2101,,,,,,,,,,,,,,,,,,,,,,,,,,CHX-A″-DTPA conjugation,0.8,>95%,51.8 kBq/μg,,,
RDC01872,RDC,[111In]In-2Rs15d,,,,,,,,,,,,,,,,,,,,,,,,,,"Conjugated with p-SCN-Bn-CHX-A″-DTPA, labeled with ^{111}InCl₃ in ammonium acetate, pH 5.0",,99.1 ± 0.4% (after purification),,,,
RDC01873,RDC,[225Ac]Ac-2Rs15d,,,,,,,,,,,,,,,,,,,,,,,,,,"Conjugated with p-SCN-Bn-DOTA, labeled with ^{225}Ac in ammonium acetate buffer, pH 5.2, at 55°C for 90 min.",,"98.1 ± 0.6% (after purification, 24h post-labeling)",,,,
RDC01874,RDC,[111In]In-DTPA-A9,,,,,,,,,,,,,,,,,,,,,,,,,,"Labeling performed with DTPA-A9 in 0.2 M ammonium acetate, pH 5.5, at room temperature for 60 min",>98%,>98%,1 MBq/μg,,,
RDC01875,RDC,[99mTc]Tc-TP1623,,,,,,,,,,,,,,,,,,,,,,,,,,"Indirect labeling with TP1623 in acetic acid buffer, pH 4.6, with tin chloride and sodium phosphate, at room temperature for 30 min",0.9739,93.25% (at 6 h),24.61 TBq/mmol,,,
RDC01882,RDC,¹¹¹In-DTPA-AHNP-PEG,,,,,,,,,,,,,,,,,,,,,,,,,,DTPA conjugation + ¹¹¹In labeling,0.99,0.99,,,,
RDC01883,RDC,[18F]FAl-NOTA-MAL-Cys-M0-ZHER2:342,,,,,,,,,,,,,,,,,,,,,,,,,,18FAl one-step method NOTA-MAL conjugation,>95%,>95%,,,,
RDC01884,RDC,[64Cu]DOTA-Cys-ZHER2:342,,,,,,,,,,,,,,,,,,,,,,,,,,Maleimide-DOTA conjugation Cu-64 labeling,>50%,>95%,,,,
RDC01885,RDC,[64Cu]DOTA-ZHER2:342(Cys39),,,,,,,,,,,,,,,,,,,,,,,,,,Maleimide-DOTA conjugation Cu-65 labeling,>50%,>95%,,,,
RDC01886,RDC,[64Cu]DOTA-ZHER2:342-Cys,,,,,,,,,,,,,,,,,,,,,,,,,,Maleimide-DOTA conjugation Cu-66 labeling,>50%,>95%,,,,
RDC01887,RDC,[99mTc]CGGG-LTVSPWY,,,,,,,,,,,,,,,,,,,,,,,,,,Gluconate ligand exchange N3S-type chelation,>99%,>95%,,,,
RDC01888,RDC,[99mTc]CSSS-LTVSPWY,,,,,,,,,,,,,,,,,,,,,,,,,,Gluconate ligand exchange N4S-type chelation,>99%,>95%,,,,
RDC01873,RDC,[225Ac]Ac-DOTA-2Rs15d,,,,,,,,,,,,,,,,,,,,,,,,,,"Conjugation with p-SCN-Bn-DOTA, radiolabeling at 50～C for 75 min",>90%,>95%,4.4~84.0 MBq/mg,,,
RDC01839,RDC,[99mTc]Tc-HYNIC-tricine-(Ser)3-LTVSPWY,,,,,,,,,,,,,,,,,,,,,,,,,,"Labeling with tricine/SnCl2 at room temperature, 45 min",0.98,0.98,,,,
RDC01890,RDC,[99mTc]Tc-PEG24-RDH6,,,,,,,,,,,,,,,,,,,,,,,,,,HYNIC/tricine/TPPTS labeling,>95%,>95%,9 MBq/μg,,,
RDC01835,RDC,[111In]In-ABY-025,,,,,,,,,,,,,,,,,,,,,,,,,,,>90%,>95%,,,,
RDC01891,RDC,[211At]At-ABY-025,,,,,,,,,,,,,,,,,,,,,,,,,,,>90%,>95%,,,,
RDC01892,RDC,[18F]AlF-NOTA-MAL-MZHER2:342,,,,,,,,,,,,,,,,,,,,,,,,,,One-step 18F-AlF labeling,9.3 ± 1.5% (non-decay corrected),>95%,,,,
RDC01895,RDC,[111In]In-DOTA-DiADAPT6L2,,,,,,,,,,,,,,,,,,,,,,,,,,Maleimide-DOTA conjugation,0.72,>99%,,,,
RDC01897,RDC,[111In]In-DOTA-DiADAPT6L3,,,,,,,,,,,,,,,,,,,,,,,,,,Maleimide-DOTA conjugation,0.62,>99%,,,,
RDC01899,RDC,[111In]In-ZHER2:342-SR-HP1,,,,,,,,,,,,,,,,,,,,,,,,,,DOTA chelation,0.968,0.992,,,,
RDC01900,RDC,[111In]In-HP2,,,,,,,,,,,,,,,,,,,,,,,,,,DOTA chelation,0.866,0.96,,,,
RDC01839,RDC,[99mTc]Tc-HYNIC-(Ser)3-LTVSPWY,,,,,,,,,,,,,,,,,,,,,,,,,,"HYNIC-peptide + 99mTcO4 + SnCl2 + EDDA/tricine, 95°C, 12 min",>99% (RCP),>99%,21.7 GBq/μmol,,,
RDC01835,RDC,[111In]In-ABY-025,,,,,,,,,,,,,,,,,,,,,,,,,,,>95%,>95%,3.78 GBq/μmol,,,
RDC01719,RDC,[68Ga]Ga-ABY-025,,,,,,,,,,,,,,,,,,,,,,,,,,,>95%,>95%,20.4 GBq/μmol,,,
RDC01631,RDC,[177Lu]Lu-DOTA-trastuzumab,,,,,,,,,,,,,,,,,,,,,,,,,,DOTA-trastuzumab conjugated and labeled with Lu-177 in acetate buffer,>90%,>90%,6–13.5 μCi/μg,,,
RDC01906,RDC,[111In]In-DTPA-trastuzumab-IRDye800CW,,,,,,,,,,,,,,,,,,,,,,,,,,DTPA-trastuzumab-IRDye800CW labeled with In-111 in MES buffer,>99%,>99%,2 MBq/μg,,,
RDC01907,RDC,[211At]At-SAGMB-2Rs15d,,,,,,,,,,,,,,,,,,,,,,,,,,Two-step labeling via Boc2-SGMTB,25-40%,>95%,0.9~1.3 MBq/nmol,,,
RDC01908,RDC,[211At]At-SAB-2Rs15d,,,,,,,,,,,,,,,,,,,,,,,,,,One-step labeling via m-MeATE,60-80%,>95%,2.3~3.3 MBq/nmol,,,
RDC01909,RDC,[211At]At-MSB-2Rs15d,,,,,,,,,,,,,,,,,,,,,,,,,,One-step labeling via MSB,60-80%,>95%,2.3~3.3 MBq/nmol,,,
RDC01910,RDC,[111In]In-DOTA-Cys2-ADAPT6,,,,,,,,,,,,,,,,,,,,,,,,,,Maleimide-DOTA conjugation 111In labeling,0.99,1,1.1 MBq/μg,,,
RDC01911,RDC,[111In]In-DOTA-Cys59-ADAPT6,,,,,,,,,,,,,,,,,,,,,,,,,,Maleimide-DOTA conjugation 111In labeling,0.99,1,1.1 MBq/μg,,,
RDC01719,RDC,[68Ga]Ga-ABY-025,,,,,,,,,,,,,,,,,,,,,,,,,,GMP manual production 68Ga labeling,0.991,,,,,
RDC01914,RDC,[64Cu]Cu-CB-TE1A1P-USL-trastuzumab,,,,,,,,,,,,,,,,,,,,,,,,,,CB-TE1A1P-USL-trastuzumab reacted with 64CuCl2 in ammonium acetate buffer 37° 1 hC,64.8 ± 9.5%,96.7 ± 0.7%,499 ± 74 MBq/nmol,,,
RDC01839,RDC,[99mTc]Tc-HYNIC-(Ser)3-LTVPWY,,,,,,,,,,,,,,,,,,,,,,,,,,Labeling with SnCl2 tricine EDDA in acetate buffer,>97%,>97%,,,,
RDC01916,RDC,[57Co]Co-HP2,,,,,,,,,,,,,,,,,,,,,,,,,,Labeling in ammonium acetate buffer pH 5.5,>99%,>99%,,,,
RDC01917,RDC,[111In]In-DOTA-C61-(HE)3DANS-ADAPT6-GSSC,,,,,,,,,,,,,,,,,,,,,,,,,,Labeling with 111In in acetate buffer purified by SEC,95.5 ± 0.7%,>99%,6 GBq/μmol,,,
RDC01918,RDC,[68Ga]Ga-DOTA-C61-(HE)3DANS-ADAPT6-GSSC,,,,,,,,,,,,,,,,,,,,,,,,,,Labeling with 68Ga in acetate buffer purified by SEC,96.9 ± 1.1%,>99%,11 GBq/μmol,,,
RDC01919,RDC,111In-DOTA-trastuzumab Fab,,,,,,,,,,,,,,,,,,,,,,,,,,,>98%,,3.6~4.9 MBq/μg,,,
RDC01920,RDC,64Cu-DOTA-trastuzumab Fab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3~4.7 MBq/μg,,,
RDC01656,RDC,68Ga-DOTA-(Ser)-LTVSPWY,,,,,,,,,,,,,,,,,,,,,,,,,,,>95%,,,,,
RDC01921,RDC,¹¹¹In-DOTA-oxime-trastuzumab,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,>99%,500 1000 MBq/mg,,,
RDC01922,RDC,¹¹¹In-DOTA-amide-trastuzumab,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94,,500 1000 MBq/mg,,,
RDC01924,RDC,Cy5.5/Herceptin/DOTA-111In nanoparticle,,,,,,,,,,,,,,,,,,,,,,,,,,>90%,,~10,,,,
RDC01927,RDC,[99mTc(CO)3]+-H6-ZHER2:342,,,,,,,,,,,,,,,,,,,,,,,,,,Labeling with [99mTc(CO)3]+ at 50°C for 60 min,50-84%,97-99%,,,,
RDC01928,RDC,[99mTc(CO)3]+-(HE)3-ZHER2:342,,,,,,,,,,,,,,,,,,,,,,,,,,Labeling with [99mTc(CO)3]+ at 50°C for 60 min,50-84%,97-99%,,,,
RDC01929,RDC,[99mTc(CO)3]+-(HK)3-ZHER2:342,,,,,,,,,,,,,,,,,,,,,,,,,,Labeling with [99mTc(CO)3]+ at 50°C for 60 min,50-84%,97-99%,,,,
RDC01930,RDC,[99mTc(CO)3]+-(HA)3-ZHER2:342,,,,,,,,,,,,,,,,,,,,,,,,,,Labeling with [99mTc(CO)3]+ at 50°C for 60 min,50-84%,97-99%,,,,
RDC01931,RDC,[99mTc(CO)3]+-(HI)3-ZHER2:342,,,,,,,,,,,,,,,,,,,,,,,,,,Labeling with [99mTc(CO)3]+ at 50°C for 60 min,50-84%,97-99%,,,,
RDC01932,RDC,111In-BzDTPA-pertuzumab,,,,,,,,,,,,,,,,,,,,,,,,,,>90%,>95%,,,,,
RDC01933,RDC,Trastuzumab-Polyethylenimine,,,,,,,,,,,,,,,,,,,,,,,,,,"¹⁴⁹Pm reacts with DOTA-PEI at 80 °C for 1 hour, followed by conjugation with trastuzumab.",0.288,0.967,0.118 TBq/g,,,
RDC01934,RDC,68Ga-DOTA-A1-ZHER2-5:1,,,,,,,,,,,,,,,,,,,,,,,,,,"Labeling with 68Ga at 95°C, 15 min, pH 3.0–3.5",95.5 ± 1.4%,98.9 ± 1.4%,,,,
RDC01937,RDC,188Re-ZHER2-V2,,,,,,,,,,,,,,,,,,,,,,,,,,Kit-based labeling with gluconate,0.958,>99%,17.5 MBq/μg,,,
RDC01639,RDC,^{64}Cu-DOTA-Trastuzumab,,,,,,,,,,,,,,,,,,,,,,,,,,Incubation with 64Cu for 45 min at 43°C,>93%,>98%,,,,
RDC01940,RDC,18F-NOTA-ZHER2:2395,,,,,,,,,,,,,,,,,,,,,,,,,,Al^18^F complexation with NOTA,21.0% ± 5.7%,>95%,7700 ± 3000 GBq/mmol,,,
RDC01750,RDC,99mTc-ZHER2:V2,,,,,,,,,,,,,,,,,,,,,,,,,,Two-vial kit method,92.0% ± 3.1%,>98%,,,,
RDC01941,RDC,227Th-trastuzumab,,,,,,,,,,,,,,,,,,,,,,,,,,"Conjugation with DOTA, radiolabeling in acetate buffer, purification",80% (for trastuzumab),>99%,900–1800 kBq/mg kBq/mg,,,
RDC01942,RDC,177Lu-trastuzumab,,,,,,,,,,,,,,,,,,,,,,,,,,"Conjugation with DOTA, radiolabeling in acetate buffer, purification",,>99%,100–125 MBq/mg MBq/mg,,,
RDC01943,RDC,212Pb-trastuzumab,,,,,,,,,,,,,,,,,,,,,,,,,,"Elution from 224Ra generator, conversion to nitrate, chelation with sodium ascorbate and NH4OAc, incubation with trastuzumab, purification with PD-10 column",up to 72.3%,Confirmed by SDS-PAGE and RIA,,,,
RDC01944,RDC,64Cu-labelled (CH3)(p-NCS-Ph)sar-trastuzumab,,,,,,,,,,,,,,,,,,,,,,,,,,Labeling with 64Cu at room temperature in PBS for 5 min,,>95%,,,,
RDC01945,RDC,111In-ABY-002,,,,,,,,,,,,,,,,,,,,,,,,,,Labeling with 111In at DOTA chelator as described in Orlova et al.,,,,,,
RDC01946,RDC,111In-PEP09239,,,,,,,,,,,,,,,,,,,,,,,,,,,99.4±0.5%,>96%,0.24 GBq/mg (for 0.5 mg),,,
RDC01947,RDC,64Cu-PCTA-trastuzumab,,,,,,,,,,,,,,,,,,,,,,,,,,"Labeling at room temperature in sodium acetate buffer, pH 5.5",>95%,>99%,0.36 GBq/mg (for 0.5 mg),,,
RDC01950,RDC,111In-MxDTPA-trastuzumab,,,,,,,,,,,,,,,,,,,,,,,,,,"Trastuzumab conjugated to MxDTPA, radiolabeled with 111In, purified by size-exclusion HPLC.",,>90%,,,,
RDC01951,RDC,227Th-DOTA-p-benzyl-trastuzumab,,,,,,,,,,,,,,,,,,,,,,,,,,"Trastuzumab conjugated with p-SCN-Bn-DOTA, radiolabeled with 227Th at room temperature for 2 days or 60°C for 30 min. Purified with NAP5 column.",70–85%,>99%,800–3000 Bq/μg,,,
RDC01952,RDC,¹¹¹In-octapa-trastuzumab,,,,,,,,,,,,,,,,,,,,,,,,,,"15 min, RT, NH₄OAc buffer pH 5.5",>95%,>99%,4.0 ± 0.3 mCi/mg,,,
RDC01953,RDC,¹⁷⁷Lu-octapa-trastuzumab,,,,,,,,,,,,,,,,,,,,,,,,,,"15 min, RT, NH₄OAc buffer pH 5.5",>95%,>99%,3.5 ± 0.4 mCi/mg,,,
RDC01955,RDC,67Ga-NOTA-MI-Fab,,,,,,,,,,,,,,,,,,,,,,,,,,Complexation in acetate buffer,>95%,>99%,,,,
RDC01956,RDC,188Re(I)-trastuzumab,,,,,,,,,,,,,,,,,,,,,,,,,,"Direct labeling using [188Re(OH₂)₃(CO)₃]⁺ precursor, incubated with trastuzumab at 37°C for 4 h, purified by PD-10 column",70% (at 24 h incubation),0.95,,,,
RDC01639,RDC,64Cu-DOTA-trastuzumab,,,,,,,,,,,,,,,,,,,,,,,,,,"Conjugation of DOTA to trastuzumab, labeling with 64C","92% before purification, 99% after",0.99,,,,
RDC01958,RDC,68Ga-NOTA-2Rs15d,,,,,,,,,,,,,,,,,,,,,,,,,,"Conjugation with p-SCN-Bn-NOTA, labeling with 68Ga at RT, 5 min",>97%,>99%,55~200 MBq/nmol,,,
RDC01959,RDC,⁹⁹mTc-2Rs15d,,,,,,,,,,,,,,,,,,,,,,,,,,"Labeling with ⁹⁹mTc-tricarbonyl at His-tag, 90 min at 50°C",>99%,>99% (by gel filtration),,,,
RDC01632,RDC,177Lu-ABY-027,,,,,,,,,,,,,,,,,,,,,,,,,,Labeling with 177Lu at 60°C,98% ± 2%,>98%,1.3~1.5 MBq/μg,,,
RDC01964,RDC,111In-DOTA-ZHER2:S1,,,,,,,,,,,,,,,,,,,,,,,,,,"60°C, 30 min, ammonium acetate pH 5.5",0.98,0.989,,,,
RDC01965,RDC,111In-NOTA-ZHER2:S1,,,,,,,,,,,,,,,,,,,,,,,,,,"60°C, 30 min, ammonium acetate pH 5.5",0.97,0.982,,,,
RDC01966,RDC,111In-NODAGA-ZHER2:S1,,,,,,,,,,,,,,,,,,,,,,,,,,"90°C, 30 min, ammonium acetate pH 5.5, NAP-5 purification",0.51,0.995,,,,
